Knapsack;Items;Brute force Algorithm;Greedy Algorithm;Dynamic Programming Algorithm
20;10;124700;700;1200
20;10;124700;500;900
20;10;124600;600;1000
20;10;124700;600;1000
20;10;125100;600;900
20;10;125200;500;900
20;11;285600;700;1300
20;11;255300;600;1000
20;11;257900;700;1000
20;11;254900;600;1000
20;11;255000;700;1000
20;11;255000;600;1000
20;11;255100;600;1000
20;11;255600;600;1000
20;11;254500;600;1000
20;11;253600;600;1000
20;12;554400;1000;1100
20;12;521500;800;1200
20;12;520800;700;1100
20;12;521900;800;1100
20;12;521300;800;1100
20;12;521000;800;1000
20;12;521100;700;1100
20;12;520900;600;1100
20;12;523400;1000;1100
20;12;571000;1200;1200
20;13;1323200;1100;1300
20;13;1077900;900;1300
20;13;1095100;800;1200
20;13;1089000;900;1200
20;13;1091100;900;1200
20;13;1071100;900;1300
20;13;1092400;1100;1300
20;13;1310900;1100;1200
20;13;1289300;1000;1400
20;13;1254200;900;1200
20;14;2727700;1400;1500
20;14;2736900;2000;1500
20;14;2333400;1600;1500
20;14;2346300;1100;1200
20;14;2648600;1300;1200
20;14;2669200;1300;1400
20;14;2628500;1200;1200
20;14;2312300;2100;2000
20;14;2437700;1400;1700
20;14;2380300;1200;1300
30;4;2300;300;1000
30;4;1800;300;700
30;4;1800;300;500
30;4;1800;700;600
30;4;1700;300;500
30;4;2000;300;500
30;4;1700;400;400
30;4;1700;200;400
30;4;1700;300;500
30;4;1800;300;500
30;5;4100;400;700
30;5;3700;200;700
30;5;3600;400;600
30;5;3600;300;500
30;5;3700;300;700
30;5;3700;300;600
30;5;3600;400;500
30;5;3700;300;600
30;5;3600;300;700
30;5;3600;300;600
30;6;7600;400;800
30;6;7300;400;700
30;6;7300;300;700
30;6;7300;300;800
30;6;7200;400;800
30;6;7200;300;700
30;6;7300;300;800
30;6;7200;300;700
30;6;7300;300;700
30;6;7300;300;700
30;7;15400;600;900
30;7;15100;500;800
30;7;15100;500;900
30;7;15000;500;800
30;7;15100;400;800
30;7;15000;500;900
30;7;15200;400;700
30;7;15100;400;700
30;7;15000;500;700
30;7;15100;400;800
30;8;31800;600;900
30;8;31600;500;900
30;8;31500;500;800
30;8;31500;400;800
30;8;31500;400;900
30;8;32100;500;900
30;8;38100;500;800
30;8;33000;700;900
30;8;31600;500;900
30;8;31400;500;900
30;9;63600;600;1000
30;9;63200;500;1000
30;9;63100;500;1000
30;9;63000;500;1000
30;9;63100;600;900
30;9;63300;500;1200
30;9;63100;500;900
30;9;63100;500;900
30;9;63000;500;1000
30;9;63200;500;900
30;10;125200;700;1600
30;10;124700;700;1200
30;10;124800;500;1200
30;10;124800;700;1100
30;10;124800;600;1100
30;10;124100;600;1100
30;10;124700;600;1000
30;10;123800;600;1100
30;10;124000;500;1000
30;10;124400;600;1100
30;11;254800;700;1500
30;11;258600;600;1200
30;11;313400;1000;1300
30;11;303500;700;1200
30;11;260100;700;1100
30;11;260200;600;1200
30;11;260100;600;1200
30;11;259900;600;1200
30;11;259300;600;1200
30;11;258500;600;1200
30;12;580800;800;1300
30;12;550900;800;1300
30;12;551000;800;1200
30;12;551300;700;1200
30;12;551700;700;1200
30;12;550800;800;1300
30;12;551500;700;1200
30;12;550900;800;1200
30;12;626100;1500;1600
30;12;531600;1000;1400
30;13;1180500;1000;1500
30;13;1101000;1000;1500
30;13;1106400;1100;1400
30;13;1238600;1000;1500
30;13;1067900;900;1400
30;13;1065400;900;1500
30;13;1069900;900;1400
30;13;1064400;900;1500
30;13;1063700;2100;1400
30;13;1063800;900;1400
30;14;2713800;1400;1600
30;14;2723100;1700;1700
30;14;2330900;1100;1400
30;14;2311900;1200;1500
30;14;2315600;1000;1500
30;14;2314500;1100;1600
30;14;2301900;1000;1400
30;14;2390000;1500;2400
30;14;2344600;1400;1900
30;14;2324200;1200;1500
40;4;2100;300;1400
40;4;2000;300;1100
40;4;1800;200;500
40;4;1700;300;500
40;4;1700;300;600
40;4;1700;200;500
40;4;1900;300;500
40;4;1800;300;600
40;4;1700;200;500
40;4;1700;200;500
40;5;4100;400;700
40;5;3700;300;700
40;5;3400;300;700
40;5;3500;300;600
40;5;3500;300;600
40;5;3400;300;700
40;5;3400;300;600
40;5;3400;400;600
40;5;3400;400;600
40;5;3500;400;600
40;6;7200;500;900
40;6;7100;300;900
40;6;7000;300;900
40;6;6900;300;800
40;6;7100;400;800
40;6;6900;300;800
40;6;7000;300;800
40;6;7000;300;800
40;6;7000;300;800
40;6;7000;300;700
40;7;15200;600;900
40;7;14800;500;800
40;7;14900;500;900
40;7;14800;500;800
40;7;14800;500;800
40;7;14900;500;800
40;7;14800;400;800
40;7;14800;500;800
40;7;14800;400;800
40;7;14900;400;800
40;8;31500;500;1000
40;8;31100;600;1000
40;8;31000;400;900
40;8;31100;500;900
40;8;31100;500;900
40;8;31000;500;900
40;8;31000;500;900
40;8;31100;500;1000
40;8;30900;500;900
40;8;31100;500;1000
40;9;62900;500;1100
40;9;62500;500;1100
40;9;62700;500;1100
40;9;62500;500;1100
40;9;62700;600;1000
40;9;62500;500;1000
40;9;62400;500;1000
40;9;62300;500;1100
40;9;62300;500;1100
40;9;62400;500;1100
40;10;123700;700;1300
40;10;123700;600;1300
40;10;123700;600;1200
40;10;123600;600;1200
40;10;123700;600;1100
40;10;123600;600;1200
40;10;123200;900;1300
40;10;123500;600;1200
40;10;123400;600;1200
40;10;123400;600;1100
40;11;252500;700;1500
40;11;252800;600;1300
40;11;252800;600;1300
40;11;252600;600;1300
40;11;252800;600;1400
40;11;252400;600;1300
40;11;252600;600;1300
40;11;252800;600;1300
40;11;252500;700;1300
40;11;253400;500;1300
40;12;521100;800;1400
40;12;521900;800;1400
40;12;524100;700;1400
40;12;523800;700;1400
40;12;522600;700;1300
40;12;521100;700;1400
40;12;521100;700;1300
40;12;520600;700;1300
40;12;523200;800;1400
40;12;522000;800;1400
40;13;1108100;1300;1800
40;13;1095300;1000;1600
40;13;1093500;900;1600
40;13;1072100;800;1600
40;13;1094300;1000;1600
40;13;1076200;900;1600
40;13;1074600;800;1500
40;13;1066000;900;1600
40;13;1088400;900;1600
40;13;1069200;900;1600
40;14;2306200;1100;1700
40;14;2334900;1400;1600
40;14;2310700;1100;1700
40;14;2306500;1000;1600
40;14;2304200;1000;1600
40;14;2308700;1000;1600
40;14;2298100;1100;1600
40;14;2301900;1000;1500
40;14;2485000;2200;2400
40;14;2665400;2100;1700
50;4;2400;400;900
50;4;2000;200;900
50;4;1800;200;600
50;4;1900;400;600
50;4;1800;200;600
50;4;1700;200;600
50;4;1700;300;600
50;4;1700;200;600
50;4;1700;300;600
50;4;1800;300;600
50;5;3700;400;800
50;5;3600;400;800
50;5;3500;300;800
50;5;3400;300;800
50;5;3500;300;700
50;5;3400;300;700
50;5;3500;300;700
50;5;3500;300;800
50;5;3500;300;700
50;5;3500;300;700
50;6;7900;400;1000
50;6;7200;400;1000
50;6;7200;300;1100
50;6;7100;300;900
50;6;7100;300;900
50;6;7100;300;900
50;6;7100;300;900
50;6;7100;300;900
50;6;7100;300;900
50;6;7100;300;900
50;7;15500;500;1100
50;7;15100;500;1600
50;7;15700;500;1000
50;7;15200;500;900
50;7;15100;400;1000
50;7;15000;600;1000
50;7;15200;500;1000
50;7;15100;500;900
50;7;15100;500;900
50;7;15100;500;1000
50;8;31800;500;1100
50;8;31600;500;1100
50;8;31700;500;1100
50;8;31700;500;1100
50;8;31600;500;1100
50;8;31500;500;1100
50;8;31500;400;1100
50;8;31700;500;1100
50;8;31400;400;1100
50;8;31500;500;1100
50;9;118000;900;1300
50;9;74500;600;1200
50;9;63300;500;1200
50;9;63500;500;1100
50;9;63300;500;1200
50;9;63100;600;1200
50;9;63100;500;1200
50;9;63200;400;1200
50;9;63400;500;1200
50;9;63500;500;1200
50;10;130000;700;1500
50;10;125400;600;1500
50;10;125500;600;1500
50;10;133900;600;1400
50;10;125500;600;1400
50;10;141200;700;1400
50;10;139800;700;1300
50;10;125500;700;1400
50;10;125400;700;1700
50;10;125100;600;1300
50;11;286500;800;1700
50;11;256900;700;1700
50;11;256300;600;1600
50;11;256700;600;1600
50;11;257200;700;1600
50;11;256300;600;1600
50;11;255600;1600;1500
50;11;263300;1700;1700
50;11;306900;700;1700
50;11;255500;500;1600
50;12;555500;800;1700
50;12;526000;600;1600
50;12;524400;600;1600
50;12;527100;600;1500
50;12;530000;500;1600
50;12;526800;600;1600
50;12;525200;500;1600
50;12;526200;600;1600
50;12;530300;600;1500
50;12;554000;900;1700
50;13;1283700;900;2000
50;13;1097800;800;2000
50;13;1080600;700;1900
50;13;1093400;700;1900
50;13;1113500;800;1900
50;13;1115400;700;1900
50;13;1095700;800;2000
50;13;1087300;700;1800
50;13;1063700;700;1800
50;13;1288500;900;1800
50;14;2652700;1100;1900
50;14;2348300;1300;1800
50;14;2326600;1000;1900
50;14;2317500;1100;1900
50;14;2323500;1000;1800
50;14;2308300;1000;1900
50;14;2307800;900;1800
50;14;2388400;1200;1800
50;14;2707100;1300;1900
50;14;2314400;1000;1800
60;4;2100;300;1500
60;4;1800;300;900
60;4;1800;200;700
60;4;1800;300;600
60;4;1800;200;1300
60;4;1800;200;800
60;4;1700;200;800
60;4;1700;200;600
60;4;1600;300;600
60;4;1700;200;600
60;5;3700;400;800
60;5;3500;300;900
60;5;3500;300;800
60;5;3500;300;800
60;5;3500;400;800
60;5;3500;300;800
60;5;3500;300;800
60;5;3400;300;800
60;5;3500;300;700
60;5;3400;300;800
60;6;7300;400;1000
60;6;7100;300;900
60;6;7100;300;1000
60;6;7200;300;900
60;6;7000;300;900
60;6;6900;300;900
60;6;7200;300;1000
60;6;6900;300;900
60;6;7000;400;900
60;6;6900;300;900
60;7;15200;500;1200
60;7;14900;500;1100
60;7;14900;400;1000
60;7;14900;400;1100
60;7;14900;300;1000
60;7;14900;300;1000
60;7;14900;400;1000
60;7;14800;400;1000
60;7;14800;400;1000
60;7;14900;400;1000
60;8;31200;400;1200
60;8;31000;400;1200
60;8;31100;400;1100
60;8;31100;600;1200
60;8;31300;400;1200
60;8;31100;400;1100
60;8;31100;400;1200
60;8;31000;400;1200
60;8;31100;400;1100
60;8;31100;400;1200
60;9;62600;500;1400
60;9;62700;500;1300
60;9;62900;400;1300
60;9;62800;400;1300
60;9;62600;400;1200
60;9;62700;400;1300
60;9;62700;400;1200
60;9;62400;400;1200
60;9;62400;500;1300
60;9;63000;400;1300
60;10;123900;600;1500
60;10;123600;500;1400
60;10;123300;500;1400
60;10;123500;500;1300
60;10;123300;500;1300
60;10;123600;500;1400
60;10;123600;400;1400
60;10;123800;400;1400
60;10;123300;500;1300
60;10;123800;500;1500
60;11;252900;600;1800
60;11;253100;600;1700
60;11;339900;800;1800
60;11;299000;700;1700
60;11;253400;600;1700
60;11;253300;500;1600
60;11;253000;600;1700
60;11;253600;500;1800
60;11;253000;500;1600
60;11;252600;500;1700
60;12;550900;700;1800
60;12;525700;500;1800
60;12;523100;600;1800
60;12;525700;700;1800
60;12;520400;600;1800
60;12;521100;600;1800
60;12;523300;500;1700
60;12;555900;800;1700
60;12;524700;700;1800
60;12;522400;600;1700
60;13;1185000;1000;2200
60;13;1140600;1100;2100
60;13;1092500;700;2000
60;13;1097700;900;2100
60;13;1083400;700;2000
60;13;1124200;1200;2300
60;13;1263700;800;2100
60;13;1080600;1000;2100
60;13;1069000;800;2000
60;13;1089900;800;2100
60;14;2476400;1100;2100
60;14;2318100;1000;2100
60;14;2386500;2500;2600
60;14;2346200;1400;2400
60;14;2328800;1300;2200
60;14;2349300;1300;2100
60;14;2336900;1200;2200
60;14;2359200;1200;2000
60;14;2327300;1300;2000
60;14;2343800;1100;2000
70;4;2400;500;900
70;4;2100;200;1200
70;4;2000;400;800
70;4;1800;200;800
70;4;1800;400;800
70;4;1800;300;800
70;4;2200;300;800
70;4;1700;300;800
70;4;1700;200;700
70;4;1700;300;700
70;5;3900;500;900
70;5;3600;500;1000
70;5;3600;300;800
70;5;3700;300;900
70;5;4000;300;800
70;5;3600;300;900
70;5;3500;400;900
70;5;3400;400;900
70;5;3500;300;900
70;5;3400;300;900
70;6;7700;400;1100
70;6;7300;400;1200
70;6;7100;400;1000
70;6;7100;300;1100
70;6;7000;300;1000
70;6;7500;300;1000
70;6;7100;300;1100
70;6;7500;300;1000
70;6;7100;400;1000
70;6;7000;300;1000
70;7;15500;500;1500
70;7;15100;500;1300
70;7;15000;500;1200
70;7;15100;400;1100
70;7;14900;400;1200
70;7;15500;400;1300
70;7;15000;400;1200
70;7;14900;400;1200
70;7;15000;400;1100
70;7;15000;400;1400
70;8;32300;500;1300
70;8;31700;500;1300
70;8;31600;400;1300
70;8;31600;500;1300
70;8;31500;400;1300
70;8;31400;400;1300
70;8;31500;400;1300
70;8;31500;400;1400
70;8;31600;400;1300
70;8;31500;400;1300
70;9;63700;500;1600
70;9;63600;500;1500
70;9;63500;500;1500
70;9;63400;400;1500
70;9;63600;400;1700
70;9;63700;400;1500
70;9;63800;400;1800
70;9;63700;400;1500
70;9;63600;400;1400
70;9;63500;500;1500
70;10;125600;600;1600
70;10;125400;600;1600
70;10;125800;600;1600
70;10;125600;500;1700
70;10;125400;500;1600
70;10;125500;400;1600
70;10;125500;500;1600
70;10;125800;600;1500
70;10;126200;500;1600
70;10;125900;500;1600
70;11;256400;600;2400
70;11;256800;500;1900
70;11;256600;500;2000
70;11;257000;500;1800
70;11;256600;600;1900
70;11;253900;500;1900
70;11;254000;600;1900
70;11;253500;500;1900
70;11;253500;600;1900
70;11;253800;500;1900
70;12;675400;1100;6200
70;12;597200;600;2600
70;12;525800;700;2400
70;12;533900;700;2300
70;12;533500;700;2200
70;12;537100;700;2300
70;12;532100;700;2300
70;12;534100;800;2300
70;12;548500;600;2600
70;12;557000;700;2700
70;13;1235800;900;2700
70;13;1067900;800;2700
70;13;1365600;1900;5300
70;13;1429700;1200;2700
70;13;1316400;1200;2400
70;13;1286900;900;2400
70;13;1072500;900;2200
70;13;1068700;800;2400
70;13;1104200;900;2400
70;13;1065200;900;2200
70;14;2492400;1200;2600
70;14;2308200;1200;2400
70;14;2336600;1400;2400
70;14;2341400;1200;2300
70;14;2328000;900;2500
70;14;2324600;1000;2500
70;14;2353700;1200;2400
70;14;2320000;1100;2300
70;14;2308000;900;2300
70;14;2393700;1500;2400
80;4;2300;400;1600
80;4;1800;300;1400
80;4;1900;200;700
80;4;1900;200;700
80;4;1800;200;700
80;4;1800;300;700
80;4;1800;300;700
80;4;1600;300;700
80;4;1700;300;800
80;4;1700;200;700
80;5;4000;400;1000
80;5;3600;400;1100
80;5;3400;400;1000
80;5;3400;300;900
80;5;3400;300;900
80;5;3500;300;1000
80;5;3400;300;900
80;5;3500;300;800
80;5;3500;300;900
80;5;3500;300;900
80;6;7200;400;1100
80;6;6900;300;1000
80;6;6800;300;1000
80;6;6900;300;1100
80;6;7000;300;1000
80;6;6900;300;1000
80;6;6900;300;1100
80;6;6900;300;1000
80;6;6900;400;1100
80;6;7100;300;1100
80;7;20200;500;1300
80;7;14900;400;1200
80;7;14800;400;1300
80;7;14800;400;1300
80;7;15200;400;1200
80;7;14900;400;1100
80;7;15000;400;1200
80;7;14900;400;1200
80;7;15000;400;1300
80;7;15400;400;1200
80;8;35900;500;1400
80;8;31700;500;1400
80;8;31600;500;1400
80;8;31500;400;1400
80;8;31500;500;1400
80;8;31700;500;1400
80;8;31500;400;1400
80;8;31700;400;1400
80;8;31500;400;1300
80;8;31700;400;1300
80;9;67900;500;1600
80;9;63300;500;1600
80;9;64100;400;1500
80;9;82700;500;1500
80;9;63300;400;1600
80;9;63100;400;1500
80;9;62800;400;1500
80;9;62500;500;1600
80;9;62200;400;1500
80;9;62400;400;1500
80;10;133400;600;2300
80;10;124300;500;1900
80;10;125500;600;2100
80;10;125600;500;2200
80;10;125400;500;1900
80;10;125500;500;1700
80;10;125700;500;1700
80;10;125200;500;1800
80;10;125100;500;1700
80;10;125300;500;2000
80;11;273300;700;2900
80;11;254800;600;2500
80;11;253400;600;2100
80;11;253100;500;2000
80;11;253300;600;2000
80;11;253700;600;1900
80;11;253200;600;2000
80;11;253300;500;2000
80;11;252800;500;2000
80;11;260900;700;2100
80;12;615400;800;2200
80;12;544000;800;2200
80;12;525400;700;2200
80;12;528300;700;2200
80;12;521400;700;2100
80;12;522200;2600;2100
80;12;524100;700;2100
80;12;524500;600;2100
80;12;524300;600;2100
80;12;520700;700;2100
80;13;1146700;1200;2600
80;13;1068100;800;2500
80;13;1065400;800;2500
80;13;1257000;1100;2600
80;13;1272900;1100;2500
80;13;1245600;900;2400
80;13;1071300;800;2400
80;13;1069000;800;2400
80;13;1066100;700;2400
80;13;1081400;800;2400
80;14;2374900;1100;2600
80;14;2303000;1000;2600
80;14;2303100;1000;2400
80;14;2410800;1800;2700
80;14;2586300;1200;2500
80;14;2337700;1100;2500
80;14;2309200;1100;2500
80;14;2310300;1000;2400
80;14;2301700;1000;2600
80;14;2303500;1000;2400
90;4;2100;300;1500
90;4;1700;300;2100
90;4;1700;300;800
90;4;1700;300;800
90;4;1700;300;800
90;4;1600;200;800
90;4;2000;200;800
90;4;1700;300;800
90;4;1700;200;800
90;4;1700;200;800
90;5;3900;400;1100
90;5;3600;300;1000
90;5;3400;400;1000
90;5;3400;400;1000
90;5;3400;200;1000
90;5;3500;300;1000
90;5;3400;300;900
90;5;3500;300;1000
90;5;3400;400;1100
90;5;3500;300;1000
90;6;7100;400;1200
90;6;6900;400;1200
90;6;7000;400;1100
90;6;6800;300;1100
90;6;6900;300;1100
90;6;6800;300;1100
90;6;6900;300;1100
90;6;6900;300;1100
90;6;7400;300;1100
90;6;6800;300;1000
90;7;14700;500;1300
90;7;14700;500;1400
90;7;14600;400;1600
90;7;14600;400;1300
90;7;14600;400;1200
90;7;14500;400;1200
90;7;16700;700;2800
90;7;16800;700;2500
90;7;30200;800;2700
90;7;15900;500;1300
90;8;31800;500;1500
90;8;31200;400;1500
90;8;31100;400;1500
90;8;30900;400;1500
90;8;31100;400;1500
90;8;31000;400;1400
90;8;31000;400;1500
90;8;31000;400;1500
90;8;31000;400;1500
90;8;31300;400;1500
90;9;73000;2000;5400
90;9;74200;900;3000
90;9;70700;900;2900
90;9;71700;900;3300
90;9;80600;4500;6500
90;9;69700;700;1800
90;9;65300;500;1600
90;9;63900;400;1600
90;9;63600;500;1700
90;9;63000;900;1700
90;10;124500;500;2900
90;10;124800;600;2400
90;10;125500;600;1900
90;10;124100;600;2200
90;10;124100;500;1900
90;10;124200;500;1900
90;10;124700;400;1800
90;10;124900;500;2200
90;10;124600;400;1800
90;10;125100;500;1900
90;11;255600;600;2500
90;11;254500;500;2000
90;11;254200;500;2100
90;11;254700;500;2000
90;11;259300;500;2000
90;11;256100;500;2000
90;11;255400;600;2000
90;11;294700;900;2100
90;11;307400;700;2200
90;11;255900;500;2000
90;12;587200;700;2300
90;12;523800;700;2200
90;12;522600;600;2200
90;12;522500;600;2200
90;12;524700;600;2100
90;12;524700;600;2100
90;12;532100;600;2200
90;12;522600;700;2300
90;12;523400;600;2100
90;12;535900;600;2100
90;13;1152200;800;2600
90;13;1092900;900;2600
90;13;1221600;800;2500
90;13;1063600;700;2500
90;13;1081800;1000;2600
90;13;1093900;800;2500
90;13;1075000;1000;2500
90;13;1073800;1000;2500
90;13;1104000;1100;2400
90;13;1069300;900;2500
90;14;2389800;1200;2600
90;14;2313200;1400;2500
90;14;2301100;1600;2600
90;14;2299700;1000;2500
90;14;2329900;1200;2500
90;14;2364500;1100;2500
90;14;2308400;1100;2500
90;14;2299500;1100;2400
90;14;2304300;1500;2500
90;14;2295600;1000;2400
